#EventID|Time|Latitude|Longitude|Depth/Km|Author|Catalog|Contributor|ContributorID|MagType|Magnitude|MagAuthor|EventLocationName
23443501|2019-11-14T03:55:49.770000|37.7447|14.9563|10.5|BULLETIN-INGV||||ML|2.1|--|12 km E Bronte (CT)
23443891|2019-11-14T07:31:24.580000|41.7288|15.851|16.6|BULLETIN-INGV||||ML|2.3|--|9 km W Monte Sant'Angelo (FG)
23444451|2019-11-14T09:55:06.840000|42.5265|13.3172|14.7|BULLETIN-INGV||||ML|3.2|--|1 km E Capitignano (AQ)
23445881|2019-11-14T14:43:32.510000|42.5347|13.3357|11.7|BULLETIN-INGV||||ML|2.4|--|3 km E Capitignano (AQ)
23445891|2019-11-14T14:45:11.340000|39.2267|17.1212|9.9|BULLETIN-INGV||||ML|2.9|--|7 km SE Strongoli (KR)
23446031|2019-11-14T14:56:04.160000|39.7318|15.4472|7.6|BULLETIN-INGV||||ML|2.1|--|Tirreno Meridionale (MARE)
23447601|2019-11-15T00:59:07.550000|41.8657|12.7733|9.5|BULLETIN-INGV||||ML|2.4|--|4 km NE Colonna (RM)
23447661|2019-11-15T01:09:49.730000|38.265|15.2827|130.2|BULLETIN-INGV||||ML|2.5|--|Costa Siciliana nord-orientale (Messina)
23447781|2019-11-15T02:24:56.770000|39.7107|15.4517|6.8|BULLETIN-INGV||||ML|2.2|--|Tirreno Meridionale (MARE)
23447881|2019-11-15T02:28:15.160000|41.7378|12.9328|11.3|BULLETIN-INGV||||ML|2.2|--|1 km E Artena (RM)
23448021|2019-11-15T02:52:19.650000|39.7145|15.4392|6.6|BULLETIN-INGV||||ML|2.1|--|Tirreno Meridionale (MARE)
23451101|2019-11-15T12:27:34.480000|42.7402|13.1903|10.3|BULLETIN-INGV||||ML|2.0|--|7 km NW Accumoli (RI)
23453321|2019-11-15T18:46:49.140000|42.6158|13.2207|13.0|BULLETIN-INGV||||ML|2.0|--|5 km E Cittareale (RI)
23453551|2019-11-15T19:05:06.650000|39.6567|15.8823|94.9|BULLETIN-INGV||||ML|2.3|--|4 km S Buonvicino (CS)
23453901|2019-11-15T20:12:17.050000|41.4182|14.7358|17.2|BULLETIN-INGV||||ML|2.0|--|3 km N Santa Croce del Sannio (BN)
23454961|2019-11-16T01:07:33.150000|39.7158|15.4353|8.9|BULLETIN-INGV||||ML|3.7|--|Tirreno Meridionale (MARE)
23455081|2019-11-16T02:25:56.830000|39.7227|15.4517|11.7|BULLETIN-INGV||||ML|2.3|--|Tirreno Meridionale (MARE)
23455131|2019-11-16T02:38:39.920000|41.673|14.928|23.4|BULLETIN-INGV||||ML|2.6|--|3 km W San Giuliano di Puglia (CB)
23455311|2019-11-16T03:56:27.730000|39.7102|15.4367|10.9|BULLETIN-INGV||||ML|2.9|--|Tirreno Meridionale (MARE)
23455491|2019-11-16T05:45:53.590000|39.1498|15.7217|76.4|BULLETIN-INGV||||ML|2.2|--|Costa Calabra nord-occidentale (Cosenza)
23458431|2019-11-16T20:27:43.230000|39.7312|15.4602|6.7|BULLETIN-INGV||||ML|2.1|--|Tirreno Meridionale (MARE)
23459241|2019-11-16T23:54:28.420000|39.7278|15.448|8.2|BULLETIN-INGV||||ML|2.7|--|Tirreno Meridionale (MARE)
23459921|2019-11-17T02:48:26.560000|43.4447|11.1192|8.0|BULLETIN-INGV||||ML|2.2|--|3 km N Colle di Val d'Elsa (SI)
23461721|2019-11-17T11:44:25.790000|39.2173|17.1177|9.1|BULLETIN-INGV||||ML|2.6|--|8 km SE Strongoli (KR)
23461851|2019-11-17T12:21:50.980000|37.3773|15.7323|25.2|BULLETIN-INGV||||ML|2.1|--|Mar Ionio Meridionale (MARE)
23462081|2019-11-17T18:02:03.210000|44.859|10.5603|27.3|BULLETIN-INGV||||ML|2.0|--|2 km NE Poviglio (RE)
23462931|2019-11-18T05:57:27.740000|39.7158|15.4438|9.1|BULLETIN-INGV||||ML|2.3|--|Tirreno Meridionale (MARE)
23462991|2019-11-18T06:04:10.120000|39.7153|15.4652|8.3|BULLETIN-INGV||||ML|2.0|--|Tirreno Meridionale (MARE)
23462971|2019-11-18T06:04:20.730000|39.7288|15.4913|11.1|BULLETIN-INGV||||ML|2.5|--|Tirreno Meridionale (MARE)
23463031|2019-11-18T06:04:53.200000|39.693|15.4362|12.2|BULLETIN-INGV||||ML|2.2|--|Tirreno Meridionale (MARE)
23463191|2019-11-18T07:09:50.730000|46.4553|13.7177|10.2|BULLETIN-INGV||||ML|2.1|--|V3 Tarvisio (ITALIA, AUSTRIA, SLOVENIA)
23463231|2019-11-18T07:16:28.900000|39.6842|15.3992|15.7|BULLETIN-INGV||||ML|3.1|--|Tirreno Meridionale (MARE)
23463531|2019-11-18T09:13:50.510000|38.3187|14.7413|115.6|BULLETIN-INGV||||ML|2.3|--|Costa Siciliana nord-orientale (Messina)
23465121|2019-11-18T23:22:46.650000|37.7858|14.9408|10.1|BULLETIN-INGV||||ML|2.5|--|8 km SE Maletto (CT)
23466801|2019-11-19T13:01:43.140000|38.2902|15.1847|118.4|BULLETIN-INGV||||ML|2.2|--|Costa Siciliana nord-orientale (Messina)
23466851|2019-11-19T13:08:09.120000|37.8728|14.3458|9.0|BULLETIN-INGV||||ML|2.0|--|3 km SE Castel di Lucio (ME)
23467071|2019-11-19T14:56:01.370000|37.8563|14.3423|10.4|BULLETIN-INGV||||ML|2.0|--|4 km SE Castel di Lucio (ME)
23467561|2019-11-19T20:02:37.130000|46.4748|13.0328|7.9|BULLETIN-INGV||||ML|2.5|--|1 km E Arta Terme (UD)
23467921|2019-11-20T01:06:31.170000|38.2717|14.8748|116.0|BULLETIN-INGV||||ML|2.1|--|Costa Siciliana nord-orientale (Messina)
23469211|2019-11-20T10:22:06.370000|38.4073|15.5607|148.1|BULLETIN-INGV||||ML|2.2|--|Tirreno Meridionale (MARE)
23469961|2019-11-20T16:06:48.910000|45.246|11.1717|17.5|BULLETIN-INGV||||ML|2.7|--|4 km E Bovolone (VR)
23470001|2019-11-20T16:07:39.410000|45.2447|11.1737|19.1|BULLETIN-INGV||||ML|2.1|--|5 km E Bovolone (VR)
23470381|2019-11-20T20:22:44.560000|46.2595|9.9983|13.3|BULLETIN-INGV||||ML|2.8|--|9 km N Ponte in Valtellina (SO)
23472321|2019-11-21T12:40:59.380000|41.7707|13.5998|14.4|BULLETIN-INGV||||ML|2.1|--|5 km SE Balsorano (AQ)
23472871|2019-11-21T18:08:52.910000|43.3117|12.3473|21.9|BULLETIN-INGV||||ML|2.4|--|2 km E Umbertide (PG)
23472961|2019-11-21T18:38:29.480000|41.0503|14.7447|10.6|BULLETIN-INGV||||ML|2.3|--|2 km W Ceppaloni (BN)
23473041|2019-11-21T19:04:08.770000|41.7765|13.5898|11.1|BULLETIN-INGV||||ML|2.2|--|4 km SE Balsorano (AQ)
23473131|2019-11-21T19:52:52.910000|37.7705|15.0143|20.5|BULLETIN-INGV||||ML|2.3|--|10 km NW Milo (CT)
23473141|2019-11-21T19:53:18.030000|37.7743|14.9992|21.9|BULLETIN-INGV||||ML|2.4|--|12 km NW Milo (CT)
23473851|2019-11-22T01:45:54.270000|37.9158|15.9102|19.6|BULLETIN-INGV||||ML|2.2|--|Costa Calabra sud-orientale (Reggio di Calabria)
23474071|2019-11-22T03:33:13.310000|40.3865|14.7732|7.2|BULLETIN-INGV||||ML|3.1|--|Golfo di Salerno (Salerno)
23474651|2019-11-22T08:52:51.170000|43.4832|12.9582|35.4|BULLETIN-INGV||||ML|2.3|--|2 km SE Arcevia (AN)
23476071|2019-11-22T16:26:46.110000|39.682|15.9833|34.1|BULLETIN-INGV||||ML|2.7|--|5 km NW San Sosti (CS)
23478941|2019-11-23T11:27:07.810000|38.0037|14.5855|21.3|BULLETIN-INGV||||ML|2.1|--|2 km SW San Fratello (ME)
23479741|2019-11-23T13:43:07.770000|38.3597|15.4197|117.6|BULLETIN-INGV||||ML|2.5|--|Costa Siciliana nord-orientale (Messina)
23480371|2019-11-23T16:22:35.730000|42.6482|13.2582|9.7|BULLETIN-INGV||||ML|2.1|--|3 km NW Amatrice (RI)
23481331|2019-11-24T00:55:43.340000|37.688|13.1662|17.9|BULLETIN-INGV||||ML|2.5|--|5 km SW Contessa Entellina (PA)
23481701|2019-11-24T07:23:39.690000|42.8113|13.101|10.5|BULLETIN-INGV||||ML|2.3|--|2 km N Norcia (PG)
23482971|2019-11-24T20:35:04.710000|41.4672|14.8923|17.0|BULLETIN-INGV||||ML|2.2|--|5 km W Tufara (CB)
23483381|2019-11-24T23:24:32.290000|41.0582|14.7548|8.8|BULLETIN-INGV||||ML|2.2|--|1 km NW Ceppaloni (BN)
